3,0,,,
,歡迎來到Meow Remix，現在開始教學關卡。,隨著節奏按下對應的顏色貓掌，貓就會做出可愛的動作喔。,現在就讓我們來試試看吧。,
,Welcome to Meow Remix! Here you will learn about how to master the game. ,Follow the prompt and hit the button in matching color. See the kitty dance to the beat.,Let’s give it a try!,
,,,,
1,1,,,
,當提示點向左邊到達判定框時，就是按下貓掌的時機,,
,Press the correct paw pad when the prompt marker reaches the “hit zone” on the far left.,,
,,,,
1,0,,,
,很好，這一次要變得比較難摟。,,,
,Nice. Now brace yourself for some real challenge!,,,
,,,,
2,2,,,
,太棒了，再來是紅色的滑動提示點，先試試向上滑動。,當提示點向左邊到達判定框時，就是向上滑動貓掌的時機。,,
,Great! SLIDE on the central paw pad for red markers. Each marker bears an arrow, telling you to slide upward.,Slide upward on the central paw pad when the prompt marker reaches the “hit zone” on the far left.,,
,,,,
2,3,,,
,太棒了，再來是紅色的滑動提示點，這次是向下滑動。,當提示點向左邊到達判定框時，就是向下滑動貓掌的時機。,,
,Great! SLIDE on the central paw pad for red markers. Each marker bears an arrow, telling you to slide downward.,Slide downward on the central paw pad when the prompt marker reaches the “hit zone” on the far left.,,
,,,,
1,0,,,
,很好，接下來要連續滑動喔。,,,
,Good. Let’s try chaining them together..,,,
,,,,
1,0,,,
,太厲害了，你根本不用我教嘛。,,,
,Fantastic! You’ve learned everything!,,,
,,,,