Id,TextArtistTitle,TextSongTitle
MA01S01,MUSDM,喵喵颂
MA01S02,MUSDM,无所遁形的猫
MA01S03,MUSDM,Call me queen
MA02S01,mGee,Get on up xtra
MA02S02,mGee,Summer dreamin
MA02S03,mGee,Atlantic state of mind
MA02S04,mGee,Days of the forgotten flair
MA03S01,王舜,全垒打
MA03S02,王舜,掠日彗星
MA03S03,王舜,情绪来了
MA04S01,达子,Wake up Loser
MA04S02,达子,Hello
MA04S03,达子,So good
MA05S01,林玛黛,Hope popo
MA05S02,林玛黛,满奇
MA05S03,林玛黛,孥克的诡计
MA06S01,丁继,满足背后
MA06S02,丁继,如果爱有那么彻底
MA06S03,丁继,真的很真
MA07S01,劝世宝贝 喵喵,莫名其妙的喵
MA07S02,劝世宝贝 喵喵,喵喵的异时元
MA07S03,劝世宝贝 喵喵,喵电感应
MA07S04,劝世宝贝 喵喵,喵电感应 丁继Remix
MA07S05,劝世宝贝 喵喵,喵电感应 王舜Remix