Id,Title,Ch,Desc
Tips01,秘诀 01,CI01,每日可观看奖励广告8次，每次可获得1张猫银票。
Tips02,秘诀 02,CI02,通关一个地图的全部Easy关卡，可获得2张猫银票。
Tips03,秘诀 03,CI02,通关一个地图的全部Normal关卡，可获得5张猫银票。
Tips04,秘诀 04,CI02,通关一个地图的全部Hard关卡，可获得10张猫银票。
Tips05,秘诀 05,CI03,携带到关卡中的食物道具，在HP为0时会自动使用。
Tips06,秘诀 06,CI03,携带到关卡中的食物道具，若无使用会自动回到道具仓库。
Tips07,秘诀 07,CI04,使用同一只猫咪连续玩太多关卡，猫咪会睡着。
Tips08,秘诀 08,CI04,猫咪睡着时，可抚摸把猫咪叫醒。
Tips09,秘诀 09,CI05,不同体型的猫擅长不同模式的游戏关卡。
Tips10,秘诀 10,CI05,每一关卡可获得的道具与机率，可到猫唱片行查询。
Tips11,秘诀 11,CI06,点击猫咪头像可直接开启互动视窗。
Tips12,秘诀 12,CI07,抚摸猫咪可增加EXP。
Tips13,秘诀 13,CI07,猫咪生气时，可使用猫草让猫咪冷静下来。
Tips14,秘诀 14,CI08,猫咪兴奋时，跟他玩玩具可增加EXP。
Tips15,秘诀 15,CI08,不同体型的猫咪，喜欢的玩具不一样。
Tips16,秘诀 16,CI09,猫咪的HP降低时，需要吃食物回复。
Tips17,秘诀 17,CI10,若捕捉到重覆的猫咪会直接增加该猫咪的EXP500。
Tips18,秘诀 18,CI10,要捕捉到猫，必须要在猫商店购买该体型的捕捉专用道具。
Tips19,秘诀 19,CI10,每只猫有不同的栖息地，可到游戏教学查询。
Tips20,秘诀 20,CI11,在猫咪游乐场使用相机，可获得该地图的相片。
Tips21,秘诀 21,CI11,获得一般相片时，会自动获得1张猫银票。
Tips22,秘诀 22,CI11,获得环景相片时，会自动获得5张猫银票。
Tips23,秘诀 23,CI12,记得到首页的邮箱领取每日的奖励。
Tips24,秘诀 24,CI12,每日的奖励会在每月1日重新计算。
Tips25,秘诀 25,CI12,招待每一位好友可获得5张猫银票。